City,County,Policy Type,Exists? (Y/N),Number,Title,Chapter,Section/Program,Description,Source,Notes,,,,,,
San Francisco,San Francisco,ADUs,Y,207.1,Use Districts,Local Accessory Dwelling Unit Program,,San Francisco's Accessory Dwelling Unit Program became available Citywide to all zoning districts that permit residential use.,https://sfplanning.org/accessory-dwelling-units,https://sfplanning.org/resource/local-adu-program-chart-handout,,,,,,
Alameda,Alameda,ADUs,Y,,,,ORDINANCE NO. 3278,"WHEREAS, the Legislature has declared accessory dwelling units ( ADUs) to be a valuable form of lower cost housing in California. ADUs help address California' s affordable housing crisis by increasing rental housing supply in existing residential neighborhoods",https://www.aducalifornia.org/wp-content/uploads/2020/10/AlamedaCity-06-03-2020.pdf,,,,,,,
Albany,Alameda,ADUs,Y,20.20.080,PLANNING AND ZONING,REGULATION OF SPECIFIC LAND USES,ACCESSORY DWELLING UNITS,"Foster and encourage the addition of small, more affordable infill housing units citywide to help address the state's housing crisis and promote access to housing opportunities in all Albany neighborhoods, including single-family neighborhoods;",https://ecode360.com/34858697#34858697,,,,,,,
Berkeley,Alameda,ADUs,Y,23.306.010,Zoning,ACCESSORY DWELLING UNITS,Purpose,"This Chapter establishes accessory dwelling unit (ADU) and junior accessory dwelling unit (Junior ADU) standards that:

A. Implement California Government Code Title 7, Division 1, Chapter 13. Accessory Dwelling Units.

B. Increase overall supply and range of housing options in Berkeley.

C. Expedite small-scale infill development.

D. Support Housing Element goals of facilitating construction of accessory dwelling units and increasing the number of housing units that are more affordable to Berkeley residents.

E. Encourage development of accessory dwelling units in zoning districts with compatible land uses and infrastructure.",https://berkeley.municipal.codes/BMC/23.306.010,,,,,,,
Dublin,Alameda,ADUs,Y,8.80.020 & 8.80.030,ZONING,ACCESSORY DWELLING UNIT REGULATIONS,ACCESSORY DWELLING UNITS,"Outlines the permitting and development standards for Accessory Dwelling Units (ADUs) and Junior Accessory Dwelling Units (JADUs). ADU applications on lots with existing residences are reviewed ministerially and must be approved within 60 days. ADUs are allowed on lots with single-family or multifamily residences across several zoning districts, with specific limits on unit size (up to 1,200 sq ft), number (one per single-family lot or up to two detached plus internal conversions for multifamily), and density exemptions. Development standards include reduced setbacks, parking flexibility, height limits, and design compatibility requirements. ADUs cannot be sold separately, require no owner-occupancy, and are prohibited from short-term rentals. JADUs, by contrast, are limited to one per single-family lot, must be located within the main residence (including the garage), and cannot exceed 500 sq ft. They require a separate entrance and must include an efficiency kitchen. Owner-occupancy is mandatory unless the owner is a land trust or housing organization. JADUs also cannot be sold separately or used as short-term rentals. Both ADUs and JADUs are exempt from maximum lot density calculations, and certain standards (such as parking and lot coverage) are waived or relaxed to facilitate development.",https://www.codepublishing.com/CA/Dublin/#!/Dublin08/Dublin0880.html#8.80,,,,,,,
Emeryville,Alameda,ADUs,Y,4.2.1.4.4,,Constraints,Accessory Dwelling Units (ADUs)/ Junior Accessory Dwelling Units (JADUs),"Developers of new ownership residential projects (both new construction and conversion of nonresidential space to a residential use) of ten (10) or more dwelling units or lots, including but not limited to, single-family dwellings, or condominium developments, either partially or completely in Emeryville, shall be conditioned to provide a designated percentage of the dwelling units in the project as units affordable to moderate income households for a minimum period of forty-five (45) years from date of availability as more fully described below, unless the developer, in agreement with the City Council, elects to commit to a fixed percentage of the affordable units as being affordable to median income households in return for a reduction of the affordability percentage.",https://www.codepublishing.com/CA/Emeryville/#!/Emeryville09/Emeryville095.html#9-5.402,"Additionally, the City will propose initiatives to promote ADU development as an
affordable housing option, including considering establishing a loan program for homeowners for ADUs,
marketing ADU guidance materials, and creating a frequently-asked-questions (FAQs) webpage for ADUs
on the City’s website",,,,,,
Fremont,Alameda,ADUs,Y,18.190.005,PLANNING AND ZONING,SPECIAL PROVISIONS APPLYING TO MISCELLANEOUS USES,ACCESSORY DWELLING UNITS (ADUs) AND JUNIOR ACCESSORY DWELLING UNITS (JADUs),Purpose. The purpose of this section is to implement Cal. Gov’t. Code §§ 66310 through 66342 by allowing the creation of accessory dwelling units (ADUs) and junior accessory dwelling units (JADUs) through ministerial review.,https://www.fremont.gov/government/departments/community-development/planning-building-permit-services/accessory-dwelling-units-adus,,,,,,,
Hayward,Alameda,ADUs,Y,10-1.2741,"PLANNING, ZONING, SUBDIVISIONS",ZONING ORDINANCE,PURPOSE,"This Section provides reference to the regulations for Accessory Dwelling Units provided in Government Code Sections 65852.2 and 65852.22, as amended from time to time. Accessory dwellings units provide housing opportunities in a flexible manner to address the unmet demand for affordable housing and achieve the goals, objectives, and policies of the Housing Element and General Plan to provide a diverse mix of housing options for the community.",https://library.municode.com/ca/hayward/codes/municipal_code?nodeId=HAYWARD_MUNICIPAL_CODE_CH10PLZOSU_ART1ZOOR_S10-1.2740ACDWUN_S10-1.2741PU,,,,,,,
Livermore,Alameda,ADUs,N,,,,,,,,,,,,,
Newark,Alameda,ADUs,Y,17.26.040,ZONING,Standards for Specific Uses,Accessory Dwelling Units,"Maximum Percentage. An ADU shall not exceed fifty percent of the living area of the primary single-family dwelling. Notwithstanding the preceding requirement, the maximum floor area of an ADU shall be restricted to no less than eight hundred square feet or such greater maximum square footage, but not to exceed same, as may be required to comply with Government Code Section 65852.2 et seq. as may be amended.(ii)Maximum Floor Area. On a lot less than ten thousand square feet, an ADU shall not exceed one thousand square feet in floor area. On a lot ten thousand square feet or greater, a ADU shall not exceed one thousand two hundred square feet.A conversion or attached ADU shall not exceed the building height limitation applicable to the primary residence on the lot.b.A detached ADU shall not exceed sixteen feet in height.3.Setbacks.a.Conversion ADU. No setbacks shall be required when a lawfully existing structure (e.g. garage, shed, guest house) is converted to an ADU, or where an ADU is constructed in the same location and to the same dimensions as a lawfully existing structure. The structure may not be expanded, except that up to one hundred fifty square feet may be added if necessary to provide egress from the ADU.b.A detached and attached ADU shall be setback a minimum of four feet from side and rear property lines. The minimum front yard and street side yard setback requirements of the underlying zoning district shall apply to a detached and attached ADU.i.Conventional garages or carports;ii.Uncovered paved areas such as an extended driveway;iii.Tandem parking in an existing driveway; oriv.Parking on other locations on the property, unless specific findings are made that parking in setback areas is not feasible based upon life safety conditions. Mechanical lifts may be permitted where consistent with design review criteria.",https://library.municode.com/ca/newark/codes/code_of_ordinances?nodeId=CD_ORD_TIT17ZO_DIVIIICIRE_CH17.26STSPUS_17.26.040ACDWUN,,,,,,,
