City,Policy Type,Exists? (Y/N)
Milpitas,Just Cause Eviction,Y
Milpitas,Rent Stabilization or Rent Control,N
Milpitas,Rent Review Board,Y
Milpitas,Mobile Home Rent Control,Y
Milpitas,SRO Preservation,N
Milpitas,Condo Conversion Restrictions,Y
Milpitas,Foreclosure Assistance,N
Milpitas,Affordable-Housing Linkage Fees,Y
Milpitas,Commercial Linkage Fees,Y
Milpitas,Housing Trust Fund,Y
Milpitas,Inclusionary Zoning,Y
Milpitas,Density Bonus,N
Milpitas,Community Land Trusts,N
Milpitas,First Source Hiring Program,N
Milpitas,ADUs,Y
Milpitas,Housing Overlay Zones,N
Milpitas,Land Value Recapture,N
Milpitas,Unsubsidized Affordable Housing Preservation (NOAH),N
Milpitas,Subsidized Housing Preservation,N
Milpitas,Housing Rehabilitation Programs,N
Milpitas,Tenant Opportunity to Purchase,N
Milpitas,Rental Assistance Programs,N
Milpitas,Tenant Right to Counsel,N
San Jose,Just Cause Eviction,Y
San Jose,Rent Stabilization or Rent Control,Y
San Jose,Rent Review Board,N
San Jose,Mobile Home Rent Control,Y
San Jose,SRO Preservation,N
San Jose,Condo Conversion Restrictions,Y
San Jose,Foreclosure or Homeownership Assistance,Y
San Jose,Affordable-Housing Linkage Fees,Y
San Jose,Commercial Linkage Fees,Y
San Jose,Inclusionary Zoning,Y
San Jose,Density Bonus,Y
San Jose,Community Land Trusts,N
San Jose,First Source Hiring Program,N
San Jose,ADUs,Y
San Jose,Housing Overlay Zones,Y
San Jose,Unsubsidized Affordable Housing Preservation (NOAH),Y
San Jose,Subsidized Housing Preservation,Y
San Jose,Housing Rehabilitation Programs,N
San Jose,Tenant Opportunity to Purchase,Y
San Jose,Rental Assistance Programs,Y
San Jose,Tenant Right to Counsel,N
San Jose,Short Term Rental Ban/Limitation,Y
San Jose,Pass Through Limitation,N
Mountain View,Just Cause Eviction,Y
Mountain View,Rent Stabilization or Rent Control,Y
Mountain View,Rent Review Board,Y
Mountain View,Mobile Home Rent Control,Y
Mountain View,SRO Preservation,N
Mountain View,Condo Conversion Restrictions,Y
Mountain View,Foreclosure Assistance,N
Mountain View,Affordable-Housing Linkage Fees,N
Mountain View,Commercial Linkage Fees,Y
Mountain View,Inclusionary Zoning,Y
Mountain View,Density Bonus,Y
Mountain View,Community Land Trusts,Y
Mountain View,First Source Hiring Program,N
Mountain View,ADUs,Y
Mountain View,Housing Overlay Zones,N
Mountain View,Unsubsidized Affordable Housing Preservation (NOAH),Y
Mountain View,Subsidized Housing Preservation,Y
Mountain View,Housing Rehabilitation Programs,Y
Mountain View,Tenant Opportunity to Purchase,N
Mountain View,Rental Assistance Programs,N
Mountain View,Tenant Right to Counsel,N
Mountain View,Short Term Rental Ban/Limitation,Y
Mountain View,Pass Through Limitation,N
Morgan Hill,Just Cause Eviction,N
Morgan Hill,Rent Stabilization or Rent Control,N
Morgan Hill,Rent Review Board,N
Morgan Hill,Mobile Home Rent Control,N
Morgan Hill,SRO Preservation,N
Morgan Hill,Condo Conversion Restrictions,Y
Morgan Hill,Foreclosure or Homeownership Assistance,N
Morgan Hill,Affordable-Housing Linkage Fees,Y
Morgan Hill,Commercial Linkage Fees,N
Morgan Hill,Inclusionary Zoning,N
Morgan Hill,Density Bonus,Y
Morgan Hill,Community Land Trusts,N
Morgan Hill,First Source Hiring Program,N
Morgan Hill,ADUs,Y
Morgan Hill,Housing Overlay Zones,N
Morgan Hill,Unsubsidized Affordable Housing Preservation (NOAH),N
Morgan Hill,Subsidized Housing Preservation,Y
Morgan Hill,Housing Rehabilitation Programs,Y
Morgan Hill,Tenant Opportunity to Purchase,N
